| dstat
| vmstat


я привык к vmstat но есть похожая утилита dstat

# dstat -c -m -d -n

--total-cpu-usage-- ------memory-usage----- -dsk/total- -net/total-
usr sys idl wai stl| used  free  buff  cach| read  writ| recv  send
  0   0  99   0   0| 101M 32.6M 12.1M  164M|  96k   56k|   0     0 
  0   0 100   0   0| 101M 32.6M 12.1M  164M|   0     0 |  66B  774B
  0   0 100   0   0| 101M 32.6M 12.1M  164M|   0     0 | 118B  350B
  0   0 100   0   0| 101M 32.6M 12.1M  164M|   0     0 |  66B  350B
  0   0 100   0   0| 101M 32.6M 12.1M  164M|   0     0 | 302B  444B
  0   0 100   0   0| 101M 32.6M 12.1M  164M|   0     0 | 132B  416B
  0   0  99   0   0| 101M 32.6M 12.1M  164M|   0    44k| 118B  350B
  0   0 100   0   0| 101M 32.6M 12.1M  164M|   0     0 | 132B  416B
  0   0 100   0   0| 101M 32.6M 12.1M  164M|   0     0 | 184B  416B
  0   0 100   0   0| 101M 32.6M 12.1M  164M|   0     0 |  66B  350B
  1   0  99   0   0| 101M 32.6M 12.1M  164M|   0     0 | 302B  444B
  0   0 100   0   0| 101M 32.5M 12.1M  164M|   0    36k|  66B  350B^C
