procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 8002080  13036 3823016    0    0     1    59    9   13 19  4 77  0  0
 1  0      0 8004700  13036 3823484    0    0     0   141 1273 3115  7  3 89  0  0
 0  0      0 8016956  13036 3823944    0    0     0   194 1213 3039  6  4 90  0  0
 0  0      0 8015988  13036 3823952    0    0     0     2 1185 2942  6  4 90  0  0
 0  0      0 8011216  13036 3824216    0    0     0   306 1191 3033  7  4 90  0  0
 1  0      0 8007968  13036 3825064    0    0     0    66 1061 2660  6  3 92  0  0
 0  0      0 8002424  13036 3824924    0    0     0   120 1205 2951  6  4 90  0  0
 0  0      0 7996380  13036 3826216    0    0     0   149 1315 3451  7  4 89  0  0
 0  0      0 7988316  13036 3826544    0    0     0   235 1261 3219  6  4 90  0  0
 1  0      0 8006416  13036 3826568    0    0     0     2 1202 2732  7  4 90  0  0
 0  0      0 8015240  13036 3826332    0    0     0   360 1308 3558  7  4 88  0  0
 0  0      0 8005412  13036 3827532    0    0     0   146 1113 2788  6  4 90  0  0
 0  0      0 7993316  13036 3828076    0    0     0   120 1101 2665  6  3 90  0  0
 0  0      0 7992544  13036 3836692    0    0     0   134 1224 3147  7  4 89  0  0
 0  0      0 8006880  13036 3828236    0    0     0   152 1429 3271  8  3 89  0  0
 1  0      0 8004668  13036 3828932    0    0     0    64  983 2242  5  2 93  0  0
 1  0      0 7998900  13036 3828960    0    0     0   360 1198 3185  7  2 91  0  0
 0  0      0 7995624  13036 3829224    0    0     0   175 1048 2545  5  2 93  0  0
 1  0      0 7993612  13036 3829584    0    0     0   126 1076 2632  5  2 92  0  0
 2  0      0 7990588  13036 3830192    0    0     0   142 1108 2762  5  2 93  0  0
 1  0      0 7995124  13036 3830672    0    0     0   257 1231 3080  7  2 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 7995884  13036 3830708    0    0     0   116 1197 3020  6  2 92  0  0
 1  0      0 7979504  13036 3841596    0    0     0   402 1256 3290  7  2 91  0  0
 2  0      0 7978496  13036 3831656    0    0     0   118 1281 3319  7  3 90  0  0
 0  0      0 7991488  13036 3828036    0    0     0   136 1428 3341  9  3 88  0  0
 3  0      0 7989000  13036 3837804    0    0     0   121 1384 3197 11  3 87  0  0
 5  0      0 7995564  13036 3828884    0    0     0   149 1146 2841  7  3 90  0  0
