7zip 25.01-1
a52dec 0.8.0-2
aalib 1.4rc5-19
aarch64-linux-gnu-binutils 2.44-3
aarch64-linux-gnu-gcc 15.1.0-2
aarch64-linux-gnu-glibc 2.41-3
aarch64-linux-gnu-linux-api-headers 6.12-1
aardvark-dns 1.17.0-1
abseil-cpp 20250814.1-1
acl 2.3.2-1
acpi 1.8-2
acpi_call-dkms 1.2.2-2
acpica 20250404-1
acpid 2.0.34-2
adapta-maia-theme 3.94.0.149-4
adwaita-cursors 49.0-1
adwaita-fonts 49.0-2
adwaita-icon-theme 49.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.4.9-2
alsa-firmware 1.2.4-4
alsa-lib 1.2.15.1-1
alsa-oss 1.1.8-6
alsa-plugins 1:1.2.12-5
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.15.1-1
alsa-utils 1.2.15.1-1
amd-ucode 20251125-2
aom 3.13.1-2
apparmor 4.1.2-1
appstream 1.1.1-1
arch-install-scripts 31-1
archlinux-appstream-data 20260107-1
archlinux-keyring 20260107-1
argon2 20190702-6
at-spi2-core 2.58.2-1
atkmm 2.28.4-1
atop 2.12.1-1
attr 2.5.2-1
audit 4.1.2-1
autoconf 2.72-1
automake 1.18.1-1
avahi 1:0.9rc2-1
b43-fwcutter 019-6
babl 0.1.118-1
base 3-3
base-devel 1-3
bash 5.3.9-1
bash-completion 2.17.0-2
bc 1.08.2-1
bcc 0.35.0-6
bcg729 1.1.1-2
bibata-cursor-theme 2.0.7-1
bind 9.20.17-1
binutils 2.45.1-1
binwalk 3.1.0-1
bison 3.8.2-8
blas 3.12.1-2
blueman 2.4.6-1
bluez 5.85-1
bluez-libs 5.85-1
bluez-obex 5.85-1
bluez-utils 5.85-1
bmon 4.0-5
bochs-gdb-stub 2.8-1
boost-libs 1.89.0-3
botan 3.10.0-1
bpftrace 0.24.2-1
breeze-icons 6.21.0-1
bridge-utils 1.7.1-3
brltty 6.8-5
brotli 1.1.0-3
bubblewrap 0.11.0-1
bulky 4.2-1
bzip2 1.0.8-6
c-ares 1.34.6-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.119.1-1
ca-certificates-utils 20240618-1
cairo 1.18.4-1
cairomm 1.14.5-1
cairomm-1.16 1.18.0-2
cantarell-fonts 1:0.311-1
capstone 5.0.6-1
catatonit 0.2.1-2
cblas 3.12.1-2
cdrtools 3.02a09-6
checksec 3.1.0-2
chromium 143.0.7499.192-1
cifs-utils 7.4-1
ckbcomp 1.227-2
clang 21.1.6-1
clucene 2.3.3.4-16
cmark 0.31.1-1
compiler-rt 21.1.6-1
confuse 3.3-4
conmon 1:2.1.13-1
conntrack-tools 1.4.8-1
containers-common 1:0.66.1-2
coreutils 9.9-1
cpio 2.15-3
cpupower 6.18-1
cracklib 2.10.3-1
cronie 1.7.2-2
cryptsetup 2.8.3-1
cups 2:2.4.16-1
cups-filters 2.0.1-2
cups-pdf 3.0.2-1
curl 8.18.0-2
dav1d 1.5.3-1
db5.3 5.3.28-5
dbus 1.16.2-1
dbus-broker 37-2
dbus-broker-units 37-2
dbus-glib 0.114-1
dconf 0.49.0-1
dcraw 9.28.0-5
debtap 3.5.1-1
debugedit 5.2-1
default-cursors 3-1
desktop-file-utils 0.28-1
device-mapper 2.03.38-1
dhclient 4.4.3.P1-4
diffutils 3.12-2
ding-libs 0.6.2-2
djview 4.12.3-1
djvulibre 3.5.29-1
dkms 3.3.0-1
dmidecode 3.7-1
dmraid 1.0.0.rc16.3-15
dnsmasq 2.91-1
dnssec-anchors 20250524-1
dosfstools 4.2-5
dotnet-host 10.0.0.sdk100-1
dotnet-runtime-6.0 6.0.36.sdk136-2
double-conversion 3.4.0-1
dpdk 25.11-1
dpkg 1.22.21-1
dracut 109-1
dtc 1.7.2-4
duktape 2.7.0-7
e2fsprogs 1.47.3-2
ecryptfs-utils 111-9
edk2-aarch64 202508-1
edk2-arm 202508-1
edk2-ovmf 202508-1
efibootmgr 18-3
efivar 39-1
